Names,Smiles,pChEMBL Value,value
"Benzene, 1-ethyl-2-methyl-",CCC1=CC=CC=C1C,6.956566391469192,1
Decane,CCCCCCCCCC,8.897539572547888,1
"Benzene, 1,2,4-trimethyl-",CC1=CC(=C(C=C1)C)C,6.760738846760674,1
Decyl pentyl ether,CCCCCCCCCCOCCCCC,8.921342035503017,1
2-Tolyloxirane,CC1=CC=CC=C1C2CO2,7.568739381201305,1
"Benzene, 4-ethyl-1,2-dimethyl-",CCC1=CC(=C(C=C1)C)C,6.870467381354422,1
"Benzene, 2-ethyl-1,3-dimethyl-",CCC1=C(C=CC=C1C)C,6.917424931507608,1
1-Methyl-1-silabenzocyclobutene,C[Si]1CC2=CC=CC=C21,7.279366202324567,1
Undecane,CCCCCCCCCCC,8.939740911987986,1
Linalool,CC(=CCCC(C)(C=C)O)C,6.608486296955437,1
"Benzene, 1,2,4,5-tetramethyl-",CC1=CC(=C(C=C1C)C)C,6.73800020569074,1
"4-Nonanone, 8-methyl-",CCCC(=O)CCCC(C)C,7.515310645587027,1
2-Methyl-5-(1-adamantyl)pentan-2-ol,CC(C)(CCCC12CC3CC(C1)CC(C3)C2)O,6.670837117400465,1
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, [3aS-(3a.alpha.,3b.beta.,4.beta.,7.alpha.,7aS*)]-",C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2C(=C)CC3)C(C)C,7.108607858456235,1
Palmitic acid vinyl ester,CCCCCCCCCCCCCCCC(=O)OC=C,8.423283448587068,1
"(1R,3aS,8aS)-7-Isopropyl-1,4-dimethyl-1,2,3,3a,6,8a-hexahydroazulene",C[C@@H]1CC[C@H]2[C@@H]1C=C(CC=C2C)C(C)C,6.642759935410153,1
Cyclotetradecane,C1CCCCCCCCCCCCC1,8.1870779124326,1
"Nonanoic acid, 9-oxo-, methyl ester",COC(=O)CCCCCCCC=O,7.616438750587006,1
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,6.631361481558761,1
"7,11-Hexadecadienal",CCCC/C=C\CC/C=C\CCCCCC=O,7.791783281675772,1
Bis[trifluoromethyl]hydroxy-2-(aminoethylthio)methane zwitterion,C(CSC(C(F)(F)F)(C(F)(F)F)O)N,8.651857303577373,1
4-Tetradecyne,CCCCCCCCCC#CCCC,8.120452861429435,1
Aromadendrene oxide-(2),C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CC[C@@]24CO4,6.56356049113716,1
"Dodecane, 2,6,11-trimethyl-",CCCCCCCCCCCCCCCCOC(=O)C(C(F)(F)F)(F)F,8.664646810673217,1
