Names,Smiles,pChEMBL Value
"Benzene, 1-ethyl-2-methyl-",CCC1=CC=CC=C1C,6.956566391469192
"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-",CC(C)C12CCC(=C)C1C2,5.213442747571496
"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-",CC(C)C12CCC(=C)C1C3,Invalid SMILES
Decane,CCCCCCCCCC,8.897539572547888
"Benzene, 1,2,4-trimethyl-",CC1=CC(=C(C=C1)C)C,6.760738846760674
Decyl pentyl ether,CCCCCCCCCCOCCCCC,8.921342035503017
Eucalyptol,CC1(C2CCC(O1)(CC2)C)C,5.58624147449286
2-Tolyloxirane,CC1=CC=CC=C1C2CO2,7.568739381201305
.gamma.-Terpinene,CC1=CCC(=CC1)C(C)C,5.89666769640071
"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1.alpha.,2.alpha.,5.alpha.)-",CC(C)[C@@]12CC[C@@]([C@@H]1C2)(C)O,5.643576021799419
"Benzene, 4-ethyl-1,2-dimethyl-",CCC1=CC(=C(C=C1)C)C,6.870467381354422
"Benzene, 2-ethyl-1,3-dimethyl-",CCC1=C(C=CC=C1C)C,6.917424931507608
1-Methyl-1-silabenzocyclobutene,C[Si]1CC2=CC=CC=C21,7.279366202324567
Undecane,CCCCCCCCCCC,8.939740911987986
Linalool,CC(=CCCC(C)(C=C)O)C,6.608486296955437
"Benzene, 1,2,4,5-tetramethyl-",CC1=CC(=C(C=C1C)C)C,6.73800020569074
"Bicyclo[3.1.0]hexan-2-ol, 2-methyl-5-(1-methylethyl)-, (1.alpha.,2.beta.,5.alpha.)-",CC(C)[C@@]12CC[C@](C1C2)(C)O,5.3814326263150445
"4-Nonanone, 8-methyl-",CCCC(=O)CCCC(C)C,7.515310645587027
2-Methyl-5-(1-adamantyl)pentan-2-ol,CC(C)(CCCC12CC3CC(C1)CC(C3)C2)O,6.670837117400465
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, (R)-",CC1=CC[C@](CC1)(C(C)C)O,6.439528848060016
.alpha.-Terpineol,CC1=CCC(CC1)C(C)(C)O,6.271689528559697
5-Isopropyl-2-methylbicyclo[3.1.0]hexan-2-ol,CC(C)C12CCC(C1C2)(C)O,5.330022700411197
"Cyclohexene, 4-ethenyl-4-methyl-3-(1-methylethenyl)-1-(1-methylethyl)-, (3R-trans)-",CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C,5.682173800909576
Eugenol,COC1=C(C=CC(=C1)CC=C)O,6.462781212072052
Copaene,CC1=CC[C@H]2[C@H]3[C@@H]1[C@@]2(CC[C@H]3C(C)C)C,5.560991270766912
"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-",CC(=C)C1CCC(C(C1)C(=C)C)(C)C=C,5.7766007304655975
"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, [3aS-(3a.alpha.,3b.beta.,4.beta.,7.alpha.,7aS*)]-",C[C@@H]1CC[C@H]([C@H]2[C@]13[C@@H]2C(=C)CC3)C(C)C,7.108607858456235
